date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,203.45,196.81,196.12,1.0,205.715,203.45,773000.0,0.0
2018-02-07,203.32,203.4,200.92,1.0,208.26,203.32,810608.0,0.0
2018-02-08,194.61,203.98,194.59,1.0,204.76,194.61,1207410.0,0.0
2018-02-09,189.92,192.4,182.5,1.0,198.01,189.92,1637177.0,0.0
2018-02-12,192.69,191.94,189.46,1.0,193.71,192.69,813345.0,0.0
2018-02-13,194.2,192.9,190.39,1.0,194.56,194.2,723861.0,0.0
2018-02-14,194.77,193.34,191.1,1.0,195.59,194.77,714102.0,0.0
2018-02-15,196.36,196.37,194.34,1.0,196.73,196.36,610278.0,0.0
2018-02-16,198.6,195.0,193.98,1.0,200.51,198.6,692833.0,0.0
2018-02-20,199.45,197.94,197.87,1.0,201.64,199.45,819592.0,0.0
2018-02-21,203.64,199.02,199.02,1.0,207.17,203.64,752006.0,0.0
2018-02-22,204.07,203.64,202.89,1.0,205.3,204.07,492403.0,0.0
2018-02-23,206.18,204.53,203.25,1.0,207.1157,206.18,518011.0,0.0
2018-02-26,203.96,206.56,202.75,1.0,206.74,203.96,547061.0,0.0
2018-02-27,201.32,204.33,200.88,1.0,204.97,201.32,598199.0,0.0
2018-02-28,199.93,202.41,199.83,1.0,203.92,199.93,510022.0,0.0
2018-03-01,199.75,200.11,197.29,1.0,201.365,199.75,859051.0,0.0
2018-03-02,201.45,198.38,196.9,1.0,201.7,201.45,527782.0,0.0
2018-03-05,203.7,201.0,199.78,1.0,205.54,203.7,471250.0,0.0
2018-03-06,203.42,204.24,202.26,1.0,204.55,203.42,394479.0,0.0
2018-03-07,205.16,200.87,200.83,1.0,205.94,205.16,394024.0,0.0
2018-03-08,206.52,206.31,204.65,1.0,207.52,206.52,362240.0,0.0
2018-03-09,209.4,207.64,206.82,1.0,210.94,209.4,386871.0,0.0
2018-03-12,208.69,209.43,208.24,1.0,210.21,208.69,283679.0,0.0
2018-03-13,207.8,210.0,206.21,1.0,210.0,207.8,355741.0,0.0
2018-03-14,207.9,208.83,206.32,1.0,208.919,207.9,407427.0,0.0
2018-03-15,206.78,208.0,205.98,1.0,208.889,206.78,224137.0,0.0
2018-03-16,209.01,206.69,205.59,1.0,209.09,209.01,326371.0,0.0
2018-03-19,205.13,208.3,202.83,1.0,208.3,205.13,392978.0,0.0
2018-03-20,208.29,205.49,203.651,1.0,209.9,208.29,372250.0,0.0
2018-03-21,208.64,210.41,208.366,1.0,211.87,208.64,496665.0,0.0
2018-03-22,202.84,205.79,202.81,1.0,208.78,202.84,566995.0,0.0
